brand_id,brand_name,brand_page_link,created_at,updated_at
098e4402-0e41-4488-952f-3cfe4cf3d68f,BeautyStat Cosmetics,https://www.ulta.com/brand/beautystat-cosmetics,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
4b8eef9b-52e4-4f96-a513-89f139bc8ec6,Bed Head,https://www.ulta.com/brand/bed-head,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
37edb8bb-2cc2-4636-8412-580d93f1a7fd,Beekman 1802,https://www.ulta.com/brand/beekman-1802,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
f35ef7e5-20ad-4763-b640-d339a14cbe18,belif,https://www.ulta.com/brand/belif,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
82f4563d-6145-4183-a9cb-fea7eca9214f,Benefit Cosmetics,https://www.ulta.com/brand/benefit-cosmetics,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
7febe5c8-4c67-460a-b6d2-135d2b7251e5,Better Not Younger,https://www.ulta.com/brand/better-not-younger,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
883fe46f-f69d-4c67-b57e-b5aee072f809,BETTER WORLD FRAGRANCE HOUSE,https://www.ulta.com/brand/better-world-fragrance-house,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
14c22681-2fd4-473f-b728-4c3d1813c245,BEVEL,https://www.ulta.com/brand/bevel,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
9ddbf850-b7d8-4878-a287-557997880714,billie,https://www.ulta.com/brand/billie,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
dc439cca-e274-43c6-9013-bf3f90b2387b,Billie Eilish,https://www.ulta.com/brand/billie-eilish,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
b5d73ba9-7860-483d-9c93-9313b53b854f,Billy Jealousy,https://www.ulta.com/brand/billy-jealousy,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
ef4c4b30-70be-4e36-8491-265d32c607e5,Bio Ionic,https://www.ulta.com/brand/bio-ionic,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
7d585ecf-5f6d-4bf2-b3e1-2b03abc1f3e6,Bio-Oil,https://www.ulta.com/brand/bio-oil,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
3b48a3ad-6fd6-4aa9-acec-3125b90efbfe,Biolage,https://www.ulta.com/brand/biolage,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
b5199292-3671-49fd-939f-c2e1cef480ed,Bioré,https://www.ulta.com/brand/biore,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
d9f96012-678b-4ee6-a988-382f442c8355,Biosilk,https://www.ulta.com/brand/biosilk,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
9edc96ad-1e9e-4c14-870a-f004b71bd8e2,Black Girl Sunscreen,https://www.ulta.com/brand/black-girl-sunscreen,2024-04-29 14:52:43.107+00,2024-04-29 14:52:43.107+00
